,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
9010,BREITLING,CHRONOMAT_36,AUTOMATIQUE,OR_ACIER,OR_ACIER,2022,SATISFAISANT,FEMME,8102.0,42,36,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,GRANDE-BRETAGNE
9011,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,FEMME,11400.0,55,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,ITALIE
9012,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1999,SATISFAISANT,FEMME,5221.0,42,26,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,GRANDE-BRETAGNE
9015,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,OR_ACIER,1979,SATISFAISANT,FEMME,3400.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,AUTRICHE
9016,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,OR_ACIER,2006,SATISFAISANT,FEMME,7000.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-18,1,BELGIQUE
9017,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,1984,SATISFAISANT,FEMME,7631.0,42,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,ÉTATS-UNIS
9018,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,1995,SATISFAISANT,FEMME,6490.0,42,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,POLOGNE
9019,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,5300.0,55,28,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,FRANCE
9022,CARTIER,TANK,MANUEL,OR_JAUNE,INCONNUE,1991,SATISFAISANT,FEMME,6190.0,40,22,0.0,INDETERMINE,MINÉRAL,PLIS,OR_JAUNE,2024-04-18,0,FRANCE
9023,OMEGA,DE_VILLE,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,2732.0,48,33,3.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,JAPON
9024,TUDOR,PRINCE_OYSTERDATE,AUTOMATIQUE,OR_ACIER,ACIER,2019,SATISFAISANT,FEMME,2300.0,38,25,2.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ITALIE
9025,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,OR_ACIER,1990,SATISFAISANT,FEMME,1990.0,42,25,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ALLEMAGNE
9026,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2020,SATISFAISANT,FEMME,8094.0,48,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,ÉTATS-UNIS
