,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,pays
38903,ROLEX,DATEJUST,AUTOMATIQUE,ACIER,ACIER,2010.0,Bon,FEMME,5597.0,55.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
38905,TISSOT,TITANIUM-AUTOMATIC,AUTOMATIQUE,TITANE,CUIR,2024.0,État non spécifié,FEMME,775.0,80.0,32.0,3.0,,SAPHIR,PLIS,TITANE,ALLEMAGNE
38906,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1998.0,Bon,FEMME,2890.0,42.0,24.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
38908,RICHARD-MILLE,RM-07,AUTOMATIQUE,CÉRAMIQUE,CAOUTCHOUC,2024.0,Neuf,FEMME,,50.0,45.0,5.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,FRANCE
38912,PATEK-PHILIPPE,TWENTY~4,AUTOMATIQUE,OR_ROSE,OR,2019.0,Bon,FEMME,49900.0,45.0,36.0,3.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
38914,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,2024.0,État non spécifié,FEMME,12900.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,ITALIE
38917,BOUCHERON,REFLET,AUTOMATIQUE,ACIER,ACIER,2010.0,Bon,HOMME,3700.0,,24.0,,,,,,FRANCE
38918,TUDOR,ROYAL,AUTOMATIQUE,ACIER,ACIER,2023.0,Bon,HOMME,2800.0,38.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
38920,TAG-HEUER,MONACO-CALIBRE-6,AUTOMATIQUE,ACIER,,2014.0,Bon,HOMME,1700.0,,37.0,5.0,,SAPHIR,PLIS,ACIER,FRANCE
38923,BREITLING,TOP-TIME,AUTOMATIQUE,ACIER,CUIR,1970.0,Bon,HOMME,1700.0,,38.0,,,,BOUCLE_ARDILLON,ACIER,FRANCE
38926,ZENITH,EL-PRIMERO,AUTOMATIQUE,ACIER,CUIR,2010.0,Bon,HOMME,3960.0,50.0,44.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,FRANCE
38927,ROLEX,DAYTONA,AUTOMATIQUE,OR_BLANC,OR,2010.0,Bon,HOMME,40290.0,72.0,40.0,10.0,OR,SAPHIR,PLIS,OR,FRANCE
38929,OMEGA,SPEEDMASTER,AUTOMATIQUE,ACIER,ACIER,2023.0,Bon,HOMME,7500.0,60.0,40.0,5.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
38930,CHANEL,J12,AUTOMATIQUE,CÉRAMIQUE,CÉRAMIQUE,2012.0,Bon,HOMME,3690.0,42.0,41.0,20.0,CÉRAMIQUE,SAPHIR,DOUBLE_PLIS,CÉRAMIQUE,BELGIQUE
38932,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,2019.0,Bon,HOMME,18500.0,48.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,FRANCE
38933,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,19900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,FRANCE
38935,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,2023.0,Neuf,HOMME,14990.0,70.0,41.0,10.0,OR,SAPHIR,PLIS,OR,BELGIQUE
38936,BREITLING,SUPEROCEAN-44,AUTOMATIQUE,ACIER,ACIER,2019.0,Bon,HOMME,3200.0,38.0,44.0,100.0,ACIER,SAPHIR,PLIS,ACIER,BELGIQUE
38937,VACHERON-CONSTANTIN,OVERSEAS-CHRONOGRAPH,AUTOMATIQUE,OR_ROSE,,,Bon,HOMME,28850.0,40.0,42.0,15.0,OR,SAPHIR,PLIS,OR,FRANCE
38938,BREGUET,MARINE,AUTOMATIQUE,OR_ROSE,CAOUTCHOUC,2008.0,Bon,HOMME,23500.0,48.0,42.0,10.0,OR,SAPHIR,PLIS,OR,FRANCE
