,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
1991,ROLEX,OYSTERDATE-PRECISION,MANUEL,ACIER,ACIER,,Bon,HOMME,3290.0,40.0,34.0,10.0,ACIER,,PLIS,ACIER,1,BELGIQUE
1992,OMEGA,GENÈVE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1150.0,50.0,41.0,,ACIER,,BOUCLE_ARDILLON,ACIER,0,FRANCE
1993,SINN,U1,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,2100.0,,44.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ALLEMAGNE
1994,PANERAI,LUMINOR-DUE,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,5150.0,72.0,38.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,4,BELGIQUE
1995,BELL-&-ROSS,BR-05,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,2990.0,40.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
1996,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,Neuf,HOMME,10500.0,50.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,5,BELGIQUE
1997,ORIS,AQUIS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2450.0,38.0,43.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,ACIER,2,FRANCE
1998,FREDERIQUE-CONSTANT,HOROLOGICAL-SMARTWATCH,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,530.0,,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
1999,PANERAI,LUMINOR-SUBMERSIBLE,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,5200.0,42.0,44.0,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
2000,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,Bon,HOMME,5350.0,48.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
2002,ROLEX,AIR-KING,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,5590.0,48.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,BELGIQUE
2003,BREITLING,COLT-QUARTZ,,ACIER,,,Bon,HOMME,550.0,,37.0,,,,,,0,FRANCE
2004,OMEGA,GENÈVE,MANUEL,ACIER,CUIR,,Satisfaisant,HOMME,399.0,48.0,34.0,,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,0,FRANCE
2005,OMEGA,SEAMASTER-RAILMASTER,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,3480.0,55.0,40.0,15.0,ACIER,SAPHIR,PLIS,ACIER,7,FRANCE
2006,ZENITH,EL-PRIMERO-CHRONOMASTER,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,8065.0,40.0,45.0,20.0,ACIER,SAPHIR,PLIS,ACIER,2,ÉTATS-UNIS
2007,IWC,PILOT-MARK,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,3550.0,42.0,40.0,6.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,ALLEMAGNE
2008,CASIO,G-SHOCK,AUTOMATIQUE,PLASTIQUE,PLASTIQUE,,Bon,HOMME,120.0,,45.0,20.0,PLASTIQUE,MINÉRAL,BOUCLE_ARDILLON,PLASTIQUE,8,FRANCE
2010,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,8900.0,48.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2011,BULOVA,ACCUTRON,,OR_ACIER,CUIR,,Bon,HOMME,600.0,,34.0,1.0,,,BOUCLE_ARDILLON,ACIER,0,FRANCE
2013,NOMOS,METRO-DATUM-GANGRESERVE,MANUEL,ACIER,CUIR,,Bon,HOMME,2000.0,42.0,37.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
2014,LONGINES,HYDROCONQUEST,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1550.0,72.0,43.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
2015,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,11900.0,48.0,36.0,10.0,,SAPHIR,DOUBLE_PLIS,OR,1,FRANCE
2016,TAG-HEUER,CARRERA-CALIBRE-16,AUTOMATIQUE,ACIER,,,Bon,HOMME,1697.0,42.0,41.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
2017,BULGARI,DIAGONO,AUTOMATIQUE,ACIER,TEXTILE,,Bon,HOMME,2999.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,BELGIQUE
2018,UNIVERSAL-GENÈVE,MICROTOR,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1250.0,46.0,34.0,,,,FERMOIR_BIJOUX,ACIER,0,FRANCE
2020,ZENITH,CHRONOMASTER-SPORT,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9990.0,60.0,41.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
